Name;Country;lat;lon;Description
Sainte-Chapelle; France;45.788583349999996;6.713597499999997;Monument or Site
Zagreb Technical Museum Nikola Tesla; Croatia;45.816162;15.975696;Museum
Musée national napoléonien ile d'aix; France;46.0121794;-1.1737893;Museum
Musée des Deux Victoires Clemenceau-De Lattre; France;46.049148;4.070551;Museum
Abbaye de Charroux; France;46.1434776;0.40443214593039506;Monument or Site
tour Saint-Nicolas la rochelle; France;46.155768;-1.1533148255345547;Monument or Site
Tour de la Lanterne La rochelle; France;46.1557862;-1.1571226068421052;Monument or Site
tour de la Chaîne la rochelle; France;46.15581055;-1.154185372452229;Monument or Site
Ferney-Voltaire; France;46.2567057;6.1096409;Monument or Site
Château d'Aulteribe Château de Chareil-Cintrat; France;46.2610209;3.231769;Monument or Site
Musée du Moyen Age - Cluny; France;46.4339446;4.6576358;Museum
Abbaye de Cluny; France;46.434715;4.6585294;Monument or Site
Site gallo-romain de Sanxay; France;46.49743545;-0.023686610641780324;Monument or Site
Domaine de George Sand; France;46.62457805;1.9762890124047277;Monument or Site
Musée national des Beaux-Arts de Québec; Canada;46.7996302;-71.2243748;Museum
Musée de la civilisation de Québec; Canada;46.8151739;-71.2023007;Museum
Nice Musée national Fernand Léger; France;46.93271352475404;4.059312867613327;Museum
Château d'Oiron; France;46.952003000000005;-0.07697179992421763;Monument or Site
National Museum of Fine Arts; Moldova;47.0218411;28.829613277664148;Museum
National Museum of History; Moldova;47.022654450000005;28.827976861887702;Museum
National Museum of Ethnography and Natural History; Moldova;47.0234934;28.820783726020245;Museum
Château de Bouges; France;47.0423909;1.6729627512338001;Monument or Site
cathédrale Saint-Étienne de Bourges; France;47.08223275;2.3991787559496824;Monument or Site
Palais Jacques-Cœur; France;47.084156;2.393565;Monument or Site
Hôtel de la Marine; France;47.211806;-1.575841;Monument or Site
Château d'Azay-le-Rideau; France;47.25904985;0.465756301165524;Monument or Site
Château de Montal; France;47.282322;4.018746;Monument or Site
Musée Magnin; France;47.320949;5.042228;Museum
Cloître de la Psalette; France;47.3958664;0.6940454493563322;Monument or Site
Lichtenstein Palace; Austria;47.40524365;15.272935143786803;Monument or Site
Château de Fougères-sur-Bièvre; France;47.447663399999996;1.3439683550638857;Monument or Site
Château d'Angers; France;47.4687699;-0.5593237;Monument or Site
Tours et crypte de la cathédrale Notre-Dame de Paris; France;47.496067;-1.421816;Monument or Site
Kunsthalle; Hungary;47.51391425;19.07890298367445;Monument or Site
Château de Bussy-Rabutin; France;47.5614039;4.5235026;Monument or Site
Site des mégatithes de Locmariaquer; France;47.5717694;-2.9512493;Monument or Site
château d’Ecouen; France;47.586417;0.902073;Monument or Site
Château de Talcy; France;47.769422;1.4445631;Monument or Site
Magny-les-Hameaux Musées et domaine nationaux du Palais impérial de Compiègne Musée de la coopération franco-américaine; France;47.777022;0.892048;Museum
Tour et remparts d'Aigues-Mortes; France;47.8398381;-0.33635973214285736;Monument or Site
Maison de Georges Clemenceau; France;47.9933416;0.1769386970555774;Monument or Site
Conciergerie; France;48.034048;3.9132176;Monument or Site
Château de Châteaudun; France;48.0707482;1.3233275682327954;Monument or Site
Munchen Deutsches Museum; Germany;48.1300409;11.582908990594504;Museum
All DGPC Monuments and Museums All EGEAC Monuments and Museums Côa Parque; Portugal;48.148763;14.01793;Monument or Site
Fondation Louis Vuitton Palais de la découverte; France;48.171546;7.198943;Museum
Château de Fontainebleau; France;48.402116649999996;2.6998510246573746;Monument or Site
Maison d'Ernest Renan; France;48.43306115;-4.623238193755242;Monument or Site
Sites mégalithiques de Carnac Cairn de Barnenez; France;48.4538912;2.1996515396592553;Monument or Site
Château de La Motte-Tilly; France;48.46714875;3.4314546318272585;Monument or Site
Château de Carrouges; France;48.5608248;-0.15263616003611014;Monument or Site
Motsuji Temple ; Japan;48.600375;2.578578;Monument or Site
Château et remparts de la cité de Carcassonne; France;48.623577;2.270764;Monument or Site
Abbaye du Mont-Saint-Michel; France;48.6360234;-1.511480984960727;Monument or Site
Domaine des Granges de Port Royal; France;48.747345;2.019369;Museum
cathédrale de Chartres; France;48.77677;1.9613627;Monument or Site
Tréguier; France;48.784201;-3.2319779;Monument or Site
Château de Versailles; France;48.804425249999994;2.120285270992599;Monument or Site
Monastère royal de Brou; France;48.8255559;2.1826083;Monument or Site
Maison des Jardies; France;48.827119999999994;2.198741505565093;Monument or Site
Les Catacombes; France;48.8337437;2.3322959;Monument or Site
Domaine national de Saint-Cloud; France;48.833749600000004;2.1964653653893036;Monument or Site
Fondation Cartier pour l'art contemporain; France;48.83736825;2.331912990682282;Museum
Domaine national de Jossigny; France;48.8386762;2.7531163;Monument or Site
Château de Vincennes; France;48.8429069;2.4358057877896617;Monument or Site
Panthéon; France;48.8469927;2.3465071;Monument or Site
Panthéon; France;48.8469927;2.3465071;Monument or Site
Musée de Cluny - Musée national du Moyen Âge; France;48.85064945;2.3435643010185183;Museum
Château de Champs-sur-Marne ; France;48.8523928;2.6044908;Monument or Site
Colonne de Juillet; France;48.853171149999994;2.369138739583333;Monument or Site
Musée national Marc Chagall; France;48.85464155;2.335393670592886;Museum
Musée Maillol; France;48.8547304;2.3248616;Museum
Musée Rodin; France;48.85474735;2.3158669998625365;Museum
Hôtel de Béthune-Sully; France;48.8562361;2.3665962645308722;Monument or Site
Musée des Plans-reliefs; France;48.8564589;2.3132374;Monument or Site
Musée des Arts Décoratifsusée des Arts Décoratifs Musée Nissim de Camondo; France;48.858458;2.337574;Museum
Centre Pompidou; France;48.860591799999995;2.3524736024856843;Monument or Site
Musée du Louvre; France;48.8611473;2.33802768704666;Museum
Musée d'Orsay; France;48.861234;2.323764;Museum
Cité de l'Architecture et du Patrimoine; France;48.8628901;2.288981;Monument or Site
Musée de l'Orangerie; France;48.8637655;2.322660207806927;Museum
